,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
968,2021-02-23,700.51,705.67,688.31,703.16,636.48,926300,926300,2.65,0.3783,699.4125,"February 23, 21",0.003783
969,2021-02-22,705.38,705.98,697.27,703.14,636.46,829951,829951,-2.24,-0.31756,702.9425,"February 22, 21",-0.0031756
970,2021-02-19,707.42,716.58,706.5,710.11,642.77,804224,804224,2.69,0.38026,710.1525,"February 19, 21",0.0038026
971,2021-02-18,716.43,717.12,696.48,703.53,636.81,1078718,1078718,-12.9,-1.8,708.39,"February 18, 21",-0.018
972,2021-02-17,725.98,728.7,718.47,721.39,652.98,567250,567250,-4.59,-0.63225,723.635,"February 17, 21",-0.0063225
973,2021-02-16,728.67,737.72,726.92,730.31,661.05,571638,571638,1.64,0.22507,730.905,"February 16, 21",0.0022507
974,2021-02-12,715.35,731.5,712.69,722.98,654.42,862804,862804,7.63,1.07,720.63,"February 12, 21",0.0107
975,2021-02-11,729.62,729.71,716.87,721.43,653.02,803949,803949,-8.19,-1.12,724.4075,"February 11, 21",-0.0112
976,2021-02-10,732.41,732.97,721.0,723.17,654.59,663262,663262,-9.24,-1.26,727.3875,"February 10, 21",-0.0126
977,2021-02-09,727.75,731.31,719.35,728.8,659.69,451000,451000,1.05,0.14428,726.8025,"February 09, 21",0.0014428
978,2021-02-08,730.68,731.74,720.65,726.45,657.56,533145,533145,-4.23,-0.57891,727.38,"February 08, 21",-0.0057891
979,2021-02-05,734.19,737.48,725.12,726.33,657.45,475024,475024,-7.86,-1.07,730.78,"February 05, 21",-0.0107
980,2021-02-04,724.3,737.66,724.3,732.45,662.99,636413,636413,8.15,1.13,729.6775,"February 04, 21",0.0113
981,2021-02-03,720.0,727.44,716.55,724.08,655.42,685310,685310,4.08,0.56667,722.0175,"February 03, 21",0.0056667
982,2021-02-02,719.37,733.32,719.37,729.5,660.32,879300,879300,10.13,1.41,725.39,"February 02, 21",0.0141
983,2021-02-01,708.0,713.95,701.27,713.17,645.54,483100,483100,5.17,0.73023,709.0975,"February 01, 21",0.0073023
984,2021-01-29,715.36,717.08,698.62,701.26,634.76,801100,801100,-14.1,-1.97,708.08,"January 29, 21",-0.0197
985,2021-01-28,701.5,731.02,699.43,719.91,651.64,822441,822441,18.41,2.62,712.965,"January 28, 21",0.0262
